Build ID,Time (UTC),Platform,Build Status,Session ID,Test Name,Test Status,Duration (s),Video URL,Maestro Log URL,Description
6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526,2026-04-26 04:26:16 UTC,ios,failed,05f0d1dda361ba3127646079ce93abb4f2675898,home-smoke,passed,34.16,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589877ad6ac2/video#t=0,34,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589877ad6ac2/maestrologs,"iOS v15 — waitForAnimation"
6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526,2026-04-26 04:26:16 UTC,ios,failed,05f0d1dda361ba3127646079ce93abb4f2675898,lend-flow,failed,21.193,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589834ad46fb/video#t=35,56,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589834ad46fb/maestrologs,"iOS v15 — waitForAnimation"
6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526,2026-04-26 04:26:16 UTC,ios,failed,05f0d1dda361ba3127646079ce93abb4f2675898,login,failed,16.377,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589860c99842/video#t=57,73,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589860c99842/maestrologs,"iOS v15 — waitForAnimation"
6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526,2026-04-26 04:26:16 UTC,ios,failed,05f0d1dda361ba3127646079ce93abb4f2675898,auth-flow,failed,16.507,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589899f2f61f/video#t=74,90,https://api.browserstack.com/app-automate/maestro/builds/6fbfc1ff6d2a7fcdca3b5ea0eed8aeda5aa4b526/sessions/tests/05f0d1dda361ba3127646079ce93abb4f267589899f2f61f/maestrologs,"iOS v15 — waitForAnimation"
4c50f89e620a76af5b1ae1ef088187495ffe86f5,2026-04-26 04:22:30 UTC,ios,failed,4930bfd898e578eeb78bd26ed0b2e980e3d513cc,home-smoke,passed,34.006,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc77ad6ac2/video#t=0,34,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc77ad6ac2/maestrologs,"iOS v14 — 20s logout timeout"
4c50f89e620a76af5b1ae1ef088187495ffe86f5,2026-04-26 04:22:30 UTC,ios,failed,4930bfd898e578eeb78bd26ed0b2e980e3d513cc,lend-flow,failed,15.562,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc34ad46fb/video#t=35,50,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc34ad46fb/maestrologs,"iOS v14 — 20s logout timeout"
4c50f89e620a76af5b1ae1ef088187495ffe86f5,2026-04-26 04:22:30 UTC,ios,failed,4930bfd898e578eeb78bd26ed0b2e980e3d513cc,login,failed,15.655,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc60c99842/video#t=51,67,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc60c99842/maestrologs,"iOS v14 — 20s logout timeout"
4c50f89e620a76af5b1ae1ef088187495ffe86f5,2026-04-26 04:22:30 UTC,ios,failed,4930bfd898e578eeb78bd26ed0b2e980e3d513cc,auth-flow,failed,15.252,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc99f2f61f/video#t=67,82,https://api.browserstack.com/app-automate/maestro/builds/4c50f89e620a76af5b1ae1ef088187495ffe86f5/sessions/tests/4930bfd898e578eeb78bd26ed0b2e980e3d513cc99f2f61f/maestrologs,"iOS v14 — 20s logout timeout"
ee38029d1c5d7a8103d0d44327d262833833d3af,2026-04-26 04:18:06 UTC,ios,failed,b35799bef6f78f6cd6f52480b384250106a790ee,home-smoke,failed,27.751,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee77ad6ac2/video#t=0,28,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee77ad6ac2/maestrologs,"iOS v13 — scroll to logout"
ee38029d1c5d7a8103d0d44327d262833833d3af,2026-04-26 04:18:06 UTC,ios,failed,b35799bef6f78f6cd6f52480b384250106a790ee,lend-flow,failed,29.284,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee34ad46fb/video#t=28,58,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee34ad46fb/maestrologs,"iOS v13 — scroll to logout"
ee38029d1c5d7a8103d0d44327d262833833d3af,2026-04-26 04:18:06 UTC,ios,failed,b35799bef6f78f6cd6f52480b384250106a790ee,login,failed,29.459,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee60c99842/video#t=58,88,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee60c99842/maestrologs,"iOS v13 — scroll to logout"
ee38029d1c5d7a8103d0d44327d262833833d3af,2026-04-26 04:18:06 UTC,ios,failed,b35799bef6f78f6cd6f52480b384250106a790ee,auth-flow,failed,29.276,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee99f2f61f/video#t=88,118,https://api.browserstack.com/app-automate/maestro/builds/ee38029d1c5d7a8103d0d44327d262833833d3af/sessions/tests/b35799bef6f78f6cd6f52480b384250106a790ee99f2f61f/maestrologs,"iOS v13 — scroll to logout"
e86ba28ad0b7832d7c428bc2dec19e15cd8f615a,2026-04-26 04:11:28 UTC,ios,failed,71ba6e7ab0a69f9cb9465d9bee270ae8000a9095,home-smoke,passed,34.907,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909577ad6ac2/video#t=0,35,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909577ad6ac2/maestrologs,"iOS v12 — conditional logout"
e86ba28ad0b7832d7c428bc2dec19e15cd8f615a,2026-04-26 04:11:28 UTC,ios,failed,71ba6e7ab0a69f9cb9465d9bee270ae8000a9095,lend-flow,failed,16.11,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909534ad46fb/video#t=35,52,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909534ad46fb/maestrologs,"iOS v12 — conditional logout"
e86ba28ad0b7832d7c428bc2dec19e15cd8f615a,2026-04-26 04:11:28 UTC,ios,failed,71ba6e7ab0a69f9cb9465d9bee270ae8000a9095,login,failed,15.854,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909560c99842/video#t=52,68,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909560c99842/maestrologs,"iOS v12 — conditional logout"
e86ba28ad0b7832d7c428bc2dec19e15cd8f615a,2026-04-26 04:11:28 UTC,ios,failed,71ba6e7ab0a69f9cb9465d9bee270ae8000a9095,auth-flow,failed,16.341,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909599f2f61f/video#t=69,85,https://api.browserstack.com/app-automate/maestro/builds/e86ba28ad0b7832d7c428bc2dec19e15cd8f615a/sessions/tests/71ba6e7ab0a69f9cb9465d9bee270ae8000a909599f2f61f/maestrologs,"iOS v12 — conditional logout"
03158b4a2cfe10f82d268f33b148a3cdd3b58d38,2026-04-26 04:11:28 UTC,android,passed,39812db3c289df668f2ea0fe14c081bda20693a2,auth-flow,passed,37,https://api.browserstack.com/app-automate/maestro/builds/03158b4a2cfe10f82d268f33b148a3cdd3b58d38/sessions/tests/39812db3c289df668f2ea0fe14c081bda20693a2d3e1e6f9/video#t=5,53,https://api.browserstack.com/app-automate/maestro/builds/03158b4a2cfe10f82d268f33b148a3cdd3b58d38/sessions/tests/39812db3c289df668f2ea0fe14c081bda20693a2d3e1e6f9/maestrologs,"Android v10 — conditional logout"
